"Date,Price"
"2000-01-15,25.51"
"2000-02-15,27.78"
"2000-03-15,27.49"
"2000-04-15,22.76"
"2000-05-15,27.74"
"2000-06-15,29.8"
"2000-07-15,28.68"
"2000-08-15,30.2"
"2000-09-15,33.14"
"2000-10-15,30.96"
"2000-11-15,32.55"
"2000-12-15,25.66"
"2001-01-15,25.62"
"2001-02-15,27.5"
"2001-03-15,24.5"
"2001-04-15,25.66"
"2001-05-15,28.31"
"2001-06-15,27.85"
"2001-07-15,24.61"
"2001-08-15,25.68"
"2001-09-15,25.62"
"2001-10-15,20.54"
"2001-11-15,18.8"
"2001-12-15,18.71"
"2002-01-15,19.42"
"2002-02-15,20.28"
"2002-03-15,23.7"
"2002-04-15,25.73"
"2002-05-15,25.35"
"2002-06-15,24.08"
"2002-07-15,25.74"
"2002-08-15,26.65"
"2002-09-15,28.4"
"2002-10-15,27.54"
"2002-11-15,24.34"
"2002-12-15,28.33"
"2003-01-15,31.18"
"2003-02-15,32.77"
"2003-03-15,30.61"
"2003-04-15,25"
"2003-05-15,25.86"
"2003-06-15,27.65"
"2003-07-15,28.35"
"2003-08-15,29.89"
"2003-09-15,27.11"
"2003-10-15,29.61"
"2003-11-15,28.75"
"2003-12-15,29.81"
"2004-01-15,31.28"
"2004-02-15,30.86"
"2004-03-15,33.63"
"2004-04-15,33.59"
"2004-05-15,37.57"
"2004-06-15,35.18"
"2004-07-15,38.22"
"2004-08-15,42.74"
"2004-09-15,43.2"
"2004-10-15,49.78"
"2004-11-15,43.11"
"2004-12-15,39.6"
"2005-01-15,44.51"
"2005-02-15,45.48"
"2005-03-15,53.1"
"2005-04-15,51.88"
"2005-05-15,48.65"
"2005-06-15,54.35"
"2005-07-15,57.52"
"2005-08-15,63.98"
"2005-09-15,62.91"
"2005-10-15,58.54"
"2005-11-15,55.24"
"2005-12-15,56.86"
"2006-01-15,62.99"
"2006-02-15,60.21"
"2006-03-15,62.06"
"2006-04-15,70.26"
"2006-05-15,69.78"
"2006-06-15,68.56"
"2006-07-15,73.67"
"2006-08-15,73.23"
"2006-09-15,61.96"
"2006-10-15,57.81"
"2006-11-15,58.76"
"2006-12-15,62.47"
"2007-01-15,53.68"
"2007-02-15,57.56"
"2007-03-15,62.05"
"2007-04-15,67.49"
"2007-05-15,67.21"
"2007-06-15,71.05"
"2007-07-15,76.93"
"2007-08-15,70.76"
"2007-09-15,77.17"
"2007-10-15,82.34"
"2007-11-15,92.41"
"2007-12-15,90.93"
"2008-01-15,92.18"
"2008-02-15,94.99"
"2008-03-15,103.64"
"2008-04-15,109.07"
"2008-05-15,122.8"
"2008-06-15,132.32"
"2008-07-15,132.72"
"2008-08-15,113.24"
"2008-09-15,97.23"
"2008-10-15,71.58"
"2008-11-15,52.45"
"2008-12-15,39.95"
"2009-01-15,43.44"
"2009-02-15,43.32"
"2009-03-15,46.54"
"2009-04-15,50.18"
"2009-05-15,57.3"
"2009-06-15,68.61"
"2009-07-15,64.44"
"2009-08-15,72.51"
"2009-09-15,67.65"
"2009-10-15,72.77"
"2009-11-15,76.66"
"2009-12-15,74.46"
"2010-01-15,76.17"
"2010-02-15,73.75"
"2010-03-15,78.83"
"2010-04-15,84.82"
"2010-05-15,75.95"
"2010-06-15,74.76"
"2010-07-15,75.58"
"2010-08-15,77.04"
"2010-09-15,77.84"
"2010-10-15,82.67"
"2010-11-15,85.28"
"2010-12-15,91.45"
"2011-01-15,96.52"
"2011-02-15,103.72"
"2011-03-15,114.64"
"2011-04-15,123.26"
"2011-05-15,114.99"
"2011-06-15,113.83"
"2011-07-15,116.97"
"2011-08-15,110.22"
"2011-09-15,112.83"
"2011-10-15,109.55"
"2011-11-15,110.77"
"2011-12-15,107.87"
"2012-01-15,110.69"
"2012-02-15,119.33"
"2012-03-15,125.45"
"2012-04-15,119.75"
"2012-05-15,110.34"
"2012-06-15,95.16"
"2012-07-15,102.62"
"2012-08-15,113.36"
"2012-09-15,112.86"
"2012-10-15,111.71"
"2012-11-15,109.06"
"2012-12-15,109.49"
"2013-01-15,112.96"
